timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-01-01 00:00:00,16541.77000000,16545.70000000,16508.39000000,16529.67000000,4364.83570000,1672534799999,72146293.58672290,149854,2179.94772000,36032352.87035720,0
2023-01-01 01:00:00,16529.59000000,16556.80000000,16525.78000000,16551.47000000,3590.06669000,1672538399999,59376757.34460920,126556,1730.24901000,28617416.00486430,0
2023-01-01 02:00:00,16551.47000000,16559.77000000,16538.14000000,16548.19000000,3318.84038000,1672541999999,54919453.37562130,115398,1611.12302000,26660867.86773650,0
2023-01-01 03:00:00,16548.19000000,16548.19000000,16518.21000000,16533.04000000,4242.08050000,1672545599999,70122541.93745440,137724,2096.09287000,34649044.48513040,0
2023-01-01 04:00:00,16533.04000000,16535.97000000,16511.92000000,16521.85000000,4285.00909000,1672549199999,70802644.47814460,129535,2188.40175000,36159818.02407120,0
2023-01-01 05:00:00,16522.22000000,16534.98000000,16512.30000000,16530.71000000,3717.37178000,1672552799999,61412217.12737770,118541,1925.65583000,31812891.58545620,0
2023-01-01 06:00:00,16530.71000000,16550.00000000,16528.81000000,16539.79000000,3344.90206000,1672556399999,55329560.65345110,106074,1625.16179000,26882457.05764090,0
2023-01-01 07:00:00,16539.79000000,16544.57000000,16499.01000000,16526.19000000,5184.95822000,1672559999999,85663591.92969890,148545,2476.59015000,40917573.36529450,0
2023-01-01 08:00:00,16525.70000000,16534.03000000,16508.45000000,16513.34000000,4271.92023000,1672563599999,70568383.45778270,135605,2092.40270000,34565020.09401380,0
2023-01-01 09:00:00,16513.33000000,16542.49000000,16505.20000000,16537.88000000,4100.75049000,1672567199999,67754195.98220900,134070,2103.34139000,34752675.68975700,0
2023-01-01 10:00:00,16538.32000000,16548.71000000,16533.42000000,16548.34000000,3803.76616000,1672570799999,62913519.97603100,128045,1938.08864000,32055964.44901400,0
2023-01-01 11:00:00,16547.98000000,16557.00000000,16540.20000000,16556.66000000,3739.53013000,1672574399999,61883892.78027370,134038,1870.39915000,30952930.37020250,0
2023-01-01 12:00:00,16556.66000000,16572.94000000,16548.58000000,16560.93000000,4150.48564000,1672577999999,68733338.05554510,146800,2064.92986000,34196174.00665220,0
2023-01-01 13:00:00,16561.29000000,16567.26000000,16539.05000000,16548.04000000,4379.68203000,1672581599999,72483198.30946180,151206,2132.25783000,35289079.89610300,0
2023-01-01 14:00:00,16547.61000000,16558.56000000,16540.85000000,16542.94000000,3294.99093000,1672585199999,54535015.54235220,110412,1660.99212000,27491283.04999730,0
2023-01-01 15:00:00,16542.94000000,16559.99000000,16533.68000000,16558.73000000,3220.93236000,1672588799999,53292963.47748780,112258,1657.51542000,27425404.58878080,0
